127.0.0.1 - - [02/Jun/2021:02:19:01 -0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:03 -0200] "GET /pervez/ HTTP/1.1" 200 8599
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/bootstrap431.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/bootstrap431.css;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/test.css;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 1031
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/tabstyle.css;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 765
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/popper114.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 21004
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/stylefont.css;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 1441
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/jquery340.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 88151
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/imgslider.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/cyclepl.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 52026
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/test.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 404 184
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/tabjs.js;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 840
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/logohos4.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 13216
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/hos1.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 404 185
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/hos2.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 8433
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/hos4.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 11316
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/hos3.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 6633
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/tatic/theme/ncamp5.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 404 186
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:04 -0200] "GET /pervez/static/theme/hd1.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 178242
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:05 -0200] "GET /pervez/static/theme/ncamp6.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 11044
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:05 -0200] "GET /pervez/static/theme/hd5.jpg;jsessionid=F088E865591A30D359AA02B86A8E1B96 HTTP/1.1" 200 120190
0:0:0:0:0:0:0:1 - - [02/Jun/2021:02:19:05 -0200] "GET /pervez/static/theme/background3.jpg HTTP/1.1" 304 -
